City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
193,shache,CN,2020-11-11 00:44:26,38.42,77.24,31.98,73,0,4.27,clear sky
194,porto novo,BJ,2020-11-11 00:44:27,6.5,2.6,77.72,87,0,6.04,clear sky
195,goba,ET,2020-11-11 00:44:27,7.02,39.98,49.69,84,91,2.48,overcast clouds
196,rawson,AR,2020-11-11 00:44:27,-43.3,-65.1,64.13,67,83,12.5,broken clouds
197,nova olinda do norte,BR,2020-11-11 00:41:29,-3.89,-59.09,79.21,76,11,2.1,few clouds
198,inhambane,MZ,2020-11-11 00:44:27,-23.86,35.38,72.55,91,8,8.9,clear sky
199,evensk,RU,2020-11-11 00:44:28,61.95,159.23,2.08,85,51,7.78,broken clouds
200,maudaha,IN,2020-11-11 00:39:48,25.68,80.12,63.32,39,0,3.87,clear sky
201,labuhan,ID,2020-11-11 00:44:28,-6.88,112.21,83.93,68,1,8.03,clear sky
202,esmeraldas,BR,2020-11-11 00:44:28,-19.76,-44.31,69.8,60,75,4.7,broken clouds
203,lavrentiya,RU,2020-11-11 00:44:28,65.58,-171.0,33.64,92,100,11.12,overcast clouds
204,colomi,BO,2020-11-11 00:44:29,-17.35,-65.87,69.8,40,75,6.93,broken clouds
205,ponta delgada,PT,2020-11-11 00:44:29,37.73,-25.67,60.8,82,75,24.16,broken clouds
206,bartica,GY,2020-11-11 00:44:29,6.4,-58.62,78.8,88,40,6.93,scattered clouds
207,zhigansk,RU,2020-11-11 00:44:29,66.77,123.37,-0.98,92,100,21.59,snow
208,paciran,ID,2020-11-11 00:44:30,-6.88,112.38,84.49,67,0,5.79,clear sky
209,tura,IN,2020-11-11 00:44:30,25.52,90.22,64.8,67,0,4.16,clear sky
210,qaqortoq,GL,2020-11-11 00:44:30,60.72,-46.03,24.08,91,100,7.4,overcast clouds
211,hohhot,CN,2020-11-11 00:44:30,40.81,111.65,30.2,63,0,4.47,clear sky
212,fereydun kenar,IR,2020-11-11 00:44:30,36.69,52.52,61.29,58,91,3.51,overcast clouds
213,assiniboia,CA,2020-11-11 00:44:30,49.63,-105.98,19.4,79,97,8.05,overcast clouds
214,olinda,BR,2020-11-11 00:44:30,-8.01,-34.86,80.6,69,40,10.29,scattered clouds
215,esperance,AU,2020-11-11 00:44:31,-33.87,121.9,55.4,100,75,14.99,broken clouds
216,porto empedocle,IT,2020-11-11 00:44:31,37.29,13.53,55.99,78,0,8.01,clear sky
217,chilliwack,CA,2020-11-11 00:42:07,49.17,-121.94,42.8,75,99,1.12,overcast clouds
218,qasigiannguit,GL,2020-11-11 00:44:31,68.82,-51.19,2.82,91,68,1.9,broken clouds
219,fez,MA,2020-11-11 00:43:29,34.04,-5.0,59.0,67,0,10.29,clear sky
220,krasnyy yar,RU,2020-11-11 00:44:31,46.53,48.35,28.4,86,0,6.71,clear sky
